Transaction ID,Date,Month,Product Category,Product Name,Units Sold, Unit Price , Total revenue ,Region,Payment Method
10001,01/01/2024,January,Electronic,iPhone 14 Pro,2," $1,000 "," $2,000 ",North America,Credit Card
10002,02/01/2024,January,Home Appliances,Dyson V11 Vacuum,1, $500 , $500 ,Europe,PayPal
10003,03/01/2024,January,Clothing,Levi's 501 Jeans,3, $70 , $210 ,Asia,Debit Card
10004,04/01/2024,January,Book,The Da Vinci Code,4, $16 , $64 ,North America,Credit Card
10005,05/01/2024,January,Beauty Products,Neutrogena Skincare Set,1, $90 , $90 ,Europe,PayPal
10006,06/01/2024,January,Sport,Wilson Evolution Basketball,5, $30 , $150 ,Asia,Credit Card
10007,07/01/2024,January,Electronic,MacBook Pro 16-inch,1," $2,500 "," $2,500 ",North America,Credit Card
10008,08/01/2024,January,Home Appliances,Blueair Classic 480i,2, $600 ," $1,200 ",Europe,PayPal
10009,09/01/2024,January,Clothing,Nike Air Force 1,6, $90 , $540 ,Asia,Debit Card
10010,10/01/2024,January,Book,Dune by Frank Herbert,2, $26 , $52 ,North America,Credit Card
10011,11/01/2024,January,Beauty Products,Chanel No. 5 Perfume,1, $130 , $130 ,Europe,PayPal
10012,12/01/2024,January,Sport,Babolat Pure Drive Tennis Racket,3, $200 , $600 ,Asia,Credit Card
10013,13/01/2024,January,Electronic,Samsung Galaxy Tab S8,2, $750 ," $1,500 ",North America,Credit Card
10014,14/01/2024,January,Home Appliances,Keurig K-Elite Coffee Maker,1, $190 , $190 ,Europe,PayPal
10015,15/01/2024,January,Clothing,North Face Down Jacket,2, $250 , $500 ,Asia,Debit Card
10016,16/01/2024,January,Book,"Salt, Fat, Acid, Heat by Samin Nosrat",3, $36 , $108 ,North America,Credit Card
10017,17/01/2024,January,Beauty Products,Dyson Supersonic Hair Dryer,1, $400 , $400 ,Europe,PayPal
10018,18/01/2024,January,Sport,Manduka PRO Yoga Mat,4, $120 , $480 ,Asia,Credit Card
10019,19/01/2024,January,Electronic,Garmin Forerunner 945,2, $500 ," $1,000 ",North America,Credit Card
10020,20/01/2024,January,Home Appliances,Ninja Professional Blender,1, $100 , $100 ,Europe,PayPal
10021,21/01/2024,January,Clothing,Zara Summer Dress,3, $60 , $180 ,Asia,Debit Card
10022,22/01/2024,January,Book,Gone Girl by Gillian Flynn,2, $23 , $46 ,North America,Credit Card
10023,23/01/2024,January,Beauty Products,Olay Regenerist Face Cream,1, $50 , $50 ,Europe,PayPal
10024,24/01/2024,January,Sport,Adidas FIFA World Cup Football,3, $30 , $90 ,Asia,Credit Card
10025,25/01/2024,January,Electronic,Bose QuietComfort 35 Headphones,1, $300 , $300 ,North America,Credit Card
10026,26/01/2024,January,Home Appliances,Panasonic NN-SN966S Microwave,1, $180 , $180 ,Europe,PayPal
10027,27/01/2024,January,Clothing,Adidas Ultraboost Shoes,2, $180 , $360 ,Asia,Debit Card
10028,28/01/2024,January,Book,Pride and Prejudice by Jane Austen,3, $13 , $39 ,North America,Credit Card
10029,29/01/2024,January,Beauty Products,MAC Ruby Woo Lipstick,1, $30 , $30 ,Europe,PayPal
10030,30/01/2024,January,Sport,Nike Air Zoom Pegasus 37,2, $130 , $260 ,Asia,Credit Card
10031,31/01/2024,January,Electronic,Sony WH-1000XM4 Headphones,2, $350 , $700 ,North America,Credit Card
10032,01/02/2024,February,Home Appliances,Instant Pot Duo,3, $90 , $270 ,Europe,PayPal
10033,02/02/2024,February,Clothing,Under Armour HeatGear T-Shirt,5, $30 , $150 ,Asia,Debit Card
10034,03/02/2024,February,Book,1984 by George Orwell,4, $20 , $80 ,North America,Credit Card
10035,04/02/2024,February,Beauty Products,L'Oreal Revitalift Serum,2, $40 , $80 ,Europe,PayPal
10036,05/02/2024,February,Sport,Peloton Bike,1," $1,895 "," $1,895 ",Asia,Credit Card
10037,06/02/2024,February,Electronic,Apple Watch Series 8,3, $400 ," $1,200 ",North America,Credit Card
10038,07/02/2024,February,Home Appliances,Roomba i7+,2, $800 ," $1,600 ",Europe,PayPal
10039,08/02/2024,February,Clothing,Columbia Fleece Jacket,4, $60 , $240 ,Asia,Debit Card
10040,09/02/2024,February,Book,Harry Potter and the Sorcerer's Stone,3, $25 , $75 ,North America,Credit Card
10041,10/02/2024,February,Beauty Products,Estee Lauder Advanced Night Repair,1, $105 , $105 ,Europe,PayPal
10042,11/02/2024,February,Sport,Fitbit Charge 5,2, $130 , $260 ,Asia,Credit Card
10043,12/02/2024,February,Electronic,GoPro HERO10 Black,3, $400 ," $1,200 ",North America,Credit Card
10044,13/02/2024,February,Home Appliances,Nespresso VertuoPlus,1, $200 , $200 ,Europe,PayPal
10045,14/02/2024,February,Clothing,Patagonia Better Sweater,2, $140 , $280 ,Asia,Debit Card
10046,15/02/2024,February,Book,Becoming by Michelle Obama,4, $33 , $130 ,North America,Credit Card
10047,16/02/2024,February,Beauty Products,Clinique Moisture Surge,1, $52 , $52 ,Europe,PayPal
10048,17/02/2024,February,Sport,Yeti Rambler Tumbler,6, $40 , $240 ,Asia,Credit Card
10049,18/02/2024,February,Electronic,Kindle Paperwhite,2, $130 , $260 ,North America,Credit Card
10050,19/02/2024,February,Home Appliances,Breville Smart Oven,1, $300 , $300 ,Europe,PayPal
10051,20/02/2024,February,Clothing,Ray-Ban Aviator Sunglasses,3, $155 , $465 ,Asia,Debit Card
10052,21/02/2024,February,Book,The Silent Patient by Alex Michaelides,2, $27 , $54 ,North America,Credit Card
10053,22/02/2024,February,Beauty Products,Shiseido Ultimate Sun Protector,1, $49 , $49 ,Europe,PayPal
10054,23/02/2024,February,Sport,Titleist Pro V1 Golf Balls,5, $50 , $250 ,Asia,Credit Card
10055,24/02/2024,February,Electronic,Anker PowerCore Portable Charger,4, $60 , $240 ,North America,Credit Card
10056,25/02/2024,February,Home Appliances,KitchenAid Artisan Stand Mixer,1, $500 , $500 ,Europe,PayPal
10057,26/02/2024,February,Clothing,Calvin Klein Boxer Briefs,5, $30 , $150 ,Asia,Debit Card
10058,27/02/2024,February,Book,Educated by Tara Westover,3, $28 , $84 ,North America,Credit Card
10059,28/02/2024,February,Beauty Products,Anastasia Beverly Hills Brow Wiz,2, $23 , $46 ,Europe,PayPal
10060,29/02/2024,February,Sport,Hyperice Hypervolt Massager,1, $349 , $349 ,Asia,Credit Card
10061,01/03/2024,March,Electronic,Nintendo Switch,3, $300 , $900 ,North America,Credit Card
10062,02/03/2024,March,Home Appliances,Philips Airfryer XXL,2, $200 , $400 ,Europe,PayPal
10063,03/03/2024,March,Clothing,Hanes ComfortSoft T-Shirt,10, $10 , $100 ,Asia,Debit Card
10064,04/03/2024,March,Book,Where the Crawdads Sing by Delia Owens,4, $19 , $76 ,North America,Credit Card
10065,05/03/2024,March,Beauty Products,Lancome La Vie Est Belle,1, $102 , $102 ,Europe,PayPal
10066,06/03/2024,March,Sport,Garmin Edge 530,2, $300 , $600 ,Asia,Credit Card
10067,07/03/2024,March,Electronic,Samsung QLED 4K TV,1," $1,200 "," $1,200 ",North America,Credit Card
10068,08/03/2024,March,Home Appliances,Eufy RoboVac 11S,3, $220 , $660 ,Europe,PayPal
10069,09/03/2024,March,Clothing,Puma Suede Classic Sneakers,4, $60 , $240 ,Asia,Debit Card
10070,10/03/2024,March,Book,The Great Gatsby by F. Scott Fitzgerald,2, $11 , $22 ,North America,Credit Card
10071,11/03/2024,March,Beauty Products,Drunk Elephant C-Firma Day Serum,1, $78 , $78 ,Europe,PayPal
10072,12/03/2024,March,Sport,Nike Metcon 6,3, $130 , $390 ,Asia,Credit Card
10073,13/03/2024,March,Electronic,HP Spectre x360 Laptop,1," $1,600 "," $1,600 ",North America,Credit Card
10074,14/03/2024,March,Home Appliances,De'Longhi Magnifica Espresso Machine,1, $900 , $900 ,Europe,PayPal
10075,15/03/2024,March,Clothing,Tommy Hilfiger Polo Shirt,5, $50 , $250 ,Asia,Debit Card
10076,16/03/2024,March,Book,To Kill a Mockingbird by Harper Lee,4, $15 , $60 ,North America,Credit Card
10077,17/03/2024,March,Beauty Products,Glossier Boy Brow,2, $16 , $32 ,Europe,PayPal
10078,18/03/2024,March,Sport,Rogue Fitness Kettlebell,3, $70 , $210 ,Asia,Credit Card
10079,19/03/2024,March,Electronic,Apple AirPods Pro,2, $250 , $500 ,North America,Credit Card
10080,20/03/2024,March,Home Appliances,Dyson Pure Cool Link,1, $500 , $500 ,Europe,PayPal
10081,21/03/2024,March,Clothing,Levi's Trucker Jacket,2, $90 , $180 ,Asia,Debit Card
10082,22/03/2024,March,Book,The Hobbit by J.R.R. Tolkien,3, $13 , $39 ,North America,Credit Card
10083,23/03/2024,March,Beauty Products,Charlotte Tilbury Magic Cream,1, $100 , $100 ,Europe,PayPal
